5
1
12   12   8   
52
1   2   3   4
2   2   2   1
3   1   2   1
4   3   6   6
5   1   3   8
6   1   1   1
7   1   1   3
8   2   1   1
9   1   2   1
10   2   3   1
11   3   3   8
12   3   6   2
13   1   1   1
14   1   2   1
15   1   1   1
16   1   3   3
17   1   2   1
18   1   2   1
19   1   1   1
20   1   1   1
21   1   3   2
22   1   2   3
23   1   1   1
24   1   1   1
25   2   3   2
26   2   1   3
27   3   3   1
28   3   6   8
29   2   3   1
30   1   2   3
31   1   1   1
32   3   6   8
33   3   6   8
34   1   2   1
35   2   2   1
36   1   1   1
37   1   1   1
38   1   1   1
39   2   1   2
40   1   1   1
41   1   3   1
42   1   1   1
43   1   3   1
44   1   1   1
45   3   6   8
46   2   3   8
47   1   1   1
48   1   1   1
49   3   6   8
50   1   1   1
51   1   1   1
52   1   1   1
2
12   12   8   
37
1   1   2   1
2   1   2   1
3   1   2   1
4   1   1   2
5   1   2   1
6   3   3   8
7   2   3   3
8   2   3   4
9   1   3   8
10   2   3   1
11   1   3   2
12   3   3   2
13   2   3   8
14   3   3   3
15   2   3   1
16   2   3   7
17   3   3   4
18   2   3   1
19   3   6   8
20   3   3   8
21   2   3   1
22   1   1   1
23   3   3   8
24   1   3   1
25   1   1   1
26   1   1   1
27   1   3   7
28   3   3   8
29   3   3   8
30   3   3   2
31   1   2   2
32   1   1   1
33   3   3   1
34   1   3   1
35   2   3   2
36   1   3   3
37   6   6   8
3
12   12   8   
36
1   2   2   1
2   1   3   1
3   2   1   5
4   3   3   8
5   3   3   8
6   2   3   2
7   6   6   1
8   3   3   1
9   3   3   1
10   3   3   8
11   3   3   8
12   2   3   7
13   3   3   1
14   3   6   1
15   3   3   8
16   3   6   1
17   1   3   2
18   2   3   1
19   1   3   5
20   3   3   8
21   2   1   1
22   1   3   8
23   1   2   3
24   3   3   5
25   1   1   1
26   3   3   1
27   2   2   2
28   1   1   1
29   3   6   6
30   2   1   3
31   3   3   1
32   3   6   8
33   2   2   1
34   1   3   2
35   2   3   1
36   3   6   8
4
12   12   8   
52
1   1   3   2
2   1   1   3
3   3   1   8
4   1   1   1
5   3   1   1
6   3   6   5
7   3   3   1
8   1   3   1
9   1   1   3
10   1   1   1
11   6   6   6
12   5   6   1
13   1   6   1
14   6   6   8
15   6   12   1
16   1   3   2
17   2   2   1
18   1   3   2
19   1   1   1
20   1   2   7
21   2   3   5
22   2   2   1
23   6   5   1
24   1   1   1
25   1   1   2
26   2   3   2
27   1   1   2
28   3   3   3
29   1   1   3
30   1   1   1
31   1   1   4
32   1   1   2
33   2   3   2
34   3   6   1
35   1   2   1
36   1   1   1
37   1   1   1
38   3   6   1
39   1   1   1
40   1   2   2
41   2   3   8
42   1   3   1
43   2   1   1
44   1   1   1
45   2   3   2
46   2   2   1
47   1   3   2
48   3   6   5
49   1   1   3
50   1   2   2
51   1   1   4
52   2   1   7
5
12   12   8   
42
1   3   3   3
2   3   3   3
3   1   2   2
4   3   6   8
5   1   3   8
6   3   6   1
7   1   1   1
8   2   3   1
9   1   3   5
10   2   3   2
11   1   1   2
12   3   6   1
13   3   3   4
14   3   3   6
15   3   3   1
16   1   1   1
17   3   3   3
18   1   1   1
19   1   2   1
20   1   1   2
21   1   1   2
22   2   2   1
23   1   2   1
24   3   3   7
25   2   3   3
26   3   3   8
27   1   1   1
28   2   3   8
29   3   6   1
30   6   6   3
31   3   6   1
32   1   1   1
33   2   3   8
34   3   3   2
35   3   6   1
36   3   6   8
37   3   6   6
38   2   2   1
39   1   1   1
40   1   3   8
41   1   1   1
42   1   1   1
